iter	Passed	Remaining
720	3874	1499
721	3884	1495
722	3886	1488
723	3888	1482
724	3890	1475
725	3895	1470
726	3899	1464
727	3901	1457
728	3903	1451
729	3913	1447
730	3915	1440
731	3917	1434
732	3919	1427
733	3921	1421
734	3928	1416
735	3933	1410
736	3944	1407
737	3946	1401
738	3948	1394
739	3958	1390
740	3962	1384
741	3975	1382
742	3979	1376
743	3981	1370
744	3984	1363
745	3988	1357
746	3990	1351
747	3993	1345
748	4005	1342
749	4009	1336
750	4033	1337
751	4039	1332
752	4052	1329
753	4055	1322
754	4057	1316
755	4074	1314
756	4076	1308
757	4079	1302
758	4094	1300
759	4105	1296
760	4129	1296
761	4140	1293
762	4143	1287
763	4154	1283
764	4158	1277
765	4160	1270
766	4170	1266
767	4173	1260
768	4177	1254
769	4180	1248
770	4189	1244
771	4193	1238
772	4207	1235
773	4210	1229
774	4220	1225
775	4225	1219
776	4239	1216
777	4242	1210
778	4251	1206
779	4254	1199
780	4260	1194
781	4265	1189
782	4268	1182
783	4270	1176
784	4272	1170
785	4321	1176
786	4331	1172
787	4337	1166
788	4346	1162
789	4350	1156
790	4364	1153
791	4377	1149
792	4380	1143
793	4383	1137
794	4394	1133
795	4397	1126
796	4399	1120
797	4405	1115
798	4409	1109
799	4412	1103
800	4416	1097
801	4419	1091
802	4422	1085
803	4425	1078
804	4434	1074
805	4437	1068
806	4442	1062
807	4454	1058
808	4456	1052
809	4464	1047
810	4466	1040
811	4470	1035
812	4481	1030
813	4485	1024
814	4493	1020
815	4496	1014
816	4500	1008
817	4510	1003
818	4512	997
819	4515	991
820	4517	984
821	4524	979
822	4527	973
823	4529	967
824	4532	961
825	4540	956
826	4546	951
827	4549	944
828	4558	940
829	4564	934
830	4576	930
831	4594	927
832	4604	923
833	4607	917
834	4610	911
835	4615	905
836	4621	899
837	4633	895
838	4636	889
839	4639	883
840	4656	880
841	4667	875
842	4672	870
843	4690	866
844	4693	860
845	4701	855
846	4720	852
847	4723	846
848	4733	841
849	4740	836
850	4752	832
851	4754	825
852	4758	820
853	4764	814
854	4767	808
